cba_name;cba_unit;cba_daily_qty;cba_month_qty_std;supermarket;name;brand;price_num;size_std;unit_family;estimated_month_cost;coverage_status;detail_url
Empanada de horno;G;1.5;45.0;lider;Pack Empanada Horno Pino, 2 Un, 470 g;La Crianza;2425.0;470.0;mass;232.1808510638298;matched;https://super.lider.cl/ip/comidas-congeladas/00040005049351
Poroto;G;13.1;393.0;lider;Poroto Hallado Bolsa, 1 Kg;Banquete;600.0;1000.0;mass;235.79999999999998;matched;https://super.lider.cl/ip/arroz-y-legumbres/00780311010818
Limón;G;15.7;471.0;lider;Cloro Líquido Limón Botella, 1900 g;Home Care;995.0;1900.0;mass;246.65526315789472;matched;https://super.lider.cl/ip/desinfeccion/00780493000482
Postre - para almuerzo;G;0.0;0.0;lider;Jalea Sabor Piña Postre Tradicional, 100 g;Colun;290.0;100.0;mass;290.0;matched;https://super.lider.cl/ip/postres-refrigerados/00780460812180
Pollo entero;G;20.4;612.0;lider;Pollo entero con Menudencia;Super Pollo;400.0;3000.0;mass;400.0;matched;https://super.lider.cl/ip/pollo/00216492000000
Huevo de gallina;G;13.1;393.0;lider;Fideo Pasta al Huevo Nidos de Fetuccini Bolsa, 380 g;Trattoria;400.0;380.0;mass;413.6842105263158;matched;https://super.lider.cl/ip/pastas-y-salsas/00780257520121
Pan corriente sin envasar;G;151.2;4536.0;lider;Pan De Molde Blanco Especial Brioche 1 Un, 400 g;Panadería Propia;42.0;400.0;mass;476.28;matched;https://super.lider.cl/ip/panaderia-envasada/00780346800512
Lenteja;G;1.7;51.0;unimarc;Vegan burger Receta del Abuelo lenteja 100 g;Receta Del Abuelo;1150.0;100.0;mass;586.5;matched;https://www.unimarc.cl/vegetal-burger-rda-100g-lenteja/p
Salsa de tomate;G;20.1;603.0;lider;Comida Mexicana Salsa tacos Suave, 200 g;Traverso;200.0;200.0;mass;603.0;matched;https://super.lider.cl/ip/salsas/00780209523605
Papa de guarda;G;121.5;3645.0;jumbo;Papa Granel;Frutas y Verduras Propias;745.0;5000.0;mass;745.0;matched;https://www.jumbo.cl/papas-jumbo-1-kg-6-unidad-aprox-granel/p
Plátano;G;110.2;3306.0;lider;Yoghurt Batido Sabor Plátano Bolsa, 1 Kg;Frutas y Verduras Propias;260.0;1000.0;mass;859.5600000000001;matched;https://super.lider.cl/ip/yoghurt/00780292024254
Cebolla nueva;G;17.5;525.0;jumbo;Cebolla Perla Kr Granel;Kr;880.0;1000.0;mass;880.0;matched;https://www.jumbo.cl/cebolla-perla-kr-granel-2/p
Zapallo;G;14.2;426.0;unimarc;Zapallo en cubo Nuestra Cocina 500 g;Nuestra Cocina;1190.0;500.0;mass;1013.88;matched;https://www.unimarc.cl/zapallo-cong-en-cubo-nuestra-cocina-500g/p
Yogurt;G;20.8;624.0;jumbo;Yogurt Batido Soprole Vainilla Bolsa 1 kg;Soprole;1990.0;1000.0;mass;1241.76;matched;https://www.jumbo.cl/yoghurt-batido-soprole-vainilla-bolsa-1-kg-2/p
Tomate;G;44.6;1338.0;jumbo;Tomate Salad Granel;Frutas y Verduras Propias;1245.0;1000.0;mass;1245.0;matched;https://www.jumbo.cl/tomate-salad-granel/p
Manzana;G;51.1;1533.0;jumbo;Manzana Verde Granel;Frutas y Verduras Propias;1295.0;1000.0;mass;1295.0;matched;https://www.jumbo.cl/manzana-verde-granel/p
Palta;G;12.5;375.0;unimarc;Palta hass malla 700 g;Frutas Y Verduras;2790.0;700.0;mass;1494.642857142857;matched;https://www.unimarc.cl/palta-hass-malla-700-g/p
Carne molida;G;4.9;147.0;lider;Carne Molida de Vacuno 10% grasa Bandeja, 500 gr;Cuisine & Co;5190.0;500.0;mass;1525.8600000000001;matched;https://super.lider.cl/ip/vacuno/00040000518707
Torta 15 o 20 personas;G;7.2;216.0;lider;Torta Frambuesa 15 Personas, 1200 gr;Quinta;9990.0;1200.0;mass;1798.1999999999998;matched;https://super.lider.cl/ip/pasteleria/00780465184186
Jurel en conserva;G;18.8;564.0;unimarc;Jurel Nuestra Cocina natural 425 g neto - 300 g drenado Jurel Nuestra Cocina natural 425 g;Nuestra Cocina;1690.0;425.0;mass;2242.729411764706;matched;https://www.unimarc.cl/jurel-natural-nuestra-cocina-425g/p
Lechuga;G;25.2;756.0;lider;Ensalada Lechuga Costina Bolsa, 300 g;Cuatro Estaciones;1390.0;300.0;mass;3502.8;matched;https://super.lider.cl/ip/verduras/00780461085306
