script_name,status,return_code,duration_sec,stdout_log,stderr_log,error
unimarc_bebes_ninos.py,OK,0,91,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260221_173516\unimarc_bebes_ninos.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260221_173516\unimarc_bebes_ninos.py.err.log,
unimarc_bebidas_licores.py,OK,0,1841,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260221_173516\unimarc_bebidas_licores.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260221_173516\unimarc_bebidas_licores.py.err.log,
unimarc_carnes.py,OK,0,212,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260221_173516\unimarc_carnes.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260221_173516\unimarc_carnes.py.err.log,
