cba_name;formato_objetivo;supermarkets_found;best_supermarket;best_name;best_brand;best_price_num;best_unit;best_net_content;best_unit_family;best_size_std;best_discount_price_num;best_price_per_unit_web;best_price_per_unit_list_web;best_price_per_std_unit_calc;best_category_std;best_subcategory;best_last_category;best_match_score;best_detail_url;price_jumbo;price_lider;price_unimarc
Manzana;1 kg granel;2;jumbo;Manzana Royal Gala Bolsa 1 kg;Frutas y Verduras Propias;1990.0;;;mass;1000.0;;;;1.99;;Frutas > Manzanas y Peras;Frutas (Mostrar todo);9.5;https://www.jumbo.cl/manzana-royal-gala-1-kg-1842210/p;1990.0;1990.0;
Margarina;200 g a 500 g;3;unimarc;Margarina Soprole 250 g Margarina Soprole pan 250 g;Soprole;1490.0;Kg;1 un;mass;250.0;12900.0;;;5.96;;Mantequillas;Margarina y manteca;5.0;https://www.unimarc.cl/margarina-soprole-pan-250-grs/p;1550.0;3756.0;1490.0
Néctar líquido;1 litro;3;unimarc;Néctar Soprole naranja 1 L;Soprole;970.0;litro;1 un;volume;1000.0;;;;0.97;;Jugos;Jugos y néctares;8.0;https://www.unimarc.cl/nectar-soprole-1-lt-naranja/p;2690.0;1250.0;970.0
Palta;700 g a 1 kg;3;jumbo;Palta Hass Malla 1 kg;Frutas y Verduras Propias;3990.0;Kg;1 un;mass;1000.0;;;;3.99;;Verduras;Verduras (Mostrar todo);8.0;https://www.jumbo.cl/palta-hass-jumbo-malla-1-kg/p;3990.0;4990.0;3990.0
Pan corriente sin envasar;500 g a 1 kg pan corriente;3;unimarc;Pan hallulla Prosepan granel 500 g;Prosepan;1095.0;Kg;500 g;mass;500.0;;;;2.19;;Pan;Pan corriente;8.0;https://www.unimarc.cl/pan-hallulla-prosepan-kg/p;2290.0;2390.0;1095.0
Papa de guarda;1 kg;3;unimarc;Papa mix Huertos del Ranco 650 g;Huertos Del Ranco;1690.0;Kg;1 un;mass;650.0;;;;2.6;;Verduras;Verduras;6.95;https://www.unimarc.cl/papa-mix-huertos-del-ranco-650-gr/p;4490.0;2590.0;1690.0
Papas fritas;snack 100 g a 350 g;3;unimarc;Papas fritas Lays tipo americano 50 gr;Lays;990.0;Kg;1 un;mass;50.0;10000.0;;;19.8;;Cóctel y snacks;Papas fritas;5.0;https://www.unimarc.cl/papas-fritas-t-americano-lays-50-gr/p;1990.0;3000.0;990.0
Paté;100 g a 200 g;3;unimarc;Paté de ternera Fundo Río Alegre 125 g;Fundo Rio Alegre;710.0;Kg;1 un;mass;125.0;8900.0;;;5.68;;Fiambres y embutidos;Paté;5.0;https://www.unimarc.cl/pate-de-ternera-fundo-rio-alegre-125-gr-2/p;1450.0;5680.0;710.0
Pechuga de pollo;1 kg;3;lider;Pollo Pechuga Congelada, 1 kg;Sadia;5990.0;Kg;1 un;mass;1000.0;;;;5.99;;Pollo > Pechuga y Filetitos de Pollo;Pechugas y filetitos;12.5;https://super.lider.cl/ip/pollo/00789151555199;7690.0;5990.0;6690.0
Plátano;1 kg granel;2;unimarc;Plátano granel 500 g;Frutas Y Verduras;745.0;Kg;500 g;mass;500.0;;;;1.49;;Frutas y verduras congeladas;Frutas;9.5;https://www.unimarc.cl/platano-kg/p;1890.0;;745.0
Pollo entero;1.5 kg a 3 kg;3;jumbo;Salchichas Pollo Winter 1 kg;Winter;3990.0;Kg;1 un;mass;1000.0;35900.0;;;3.99;;Para Parrilla > Salchichas;Salchichas;6.5;https://www.jumbo.cl/salchicha-pollo-winter-1kg-1898637/p;3990.0;3990.0;3990.0
Queso crema;100 g a 300 g;3;unimarc;Queso crema Soprole sabor natural 100 g;Soprole;840.0;Kg;1 un;mass;100.0;7300.0;;;8.4;;Quesos;Queso crema y untables;6.0;https://www.unimarc.cl/queso-crema-natural-soprole-100-g/p;3190.0;6450.0;840.0
Queso gouda;150 g a 500 g;1;unimarc;Queso gouda Surlat laminado sin lactosa 200 g;Surlat;3550.0;Kg;1 un;mass;200.0;;;;17.75;;Quesos;Gauda y ranco;6.0;https://www.unimarc.cl/queso-gouda-lam-s-lactosa-surlat-200gr/p;;;3550.0
Salsa de tomate;200 g a 500 g;3;unimarc;Salsa de tomate italiana merkat doypack 200g;Merkat;380.0;Kg;1 un;mass;200.0;;;;1.9;;Fideos, pastas y salsas;Salsa para pastas;6.0;https://www.unimarc.cl/salsa-tomate-italiana-merkat-dp-200-gr/p;690.0;2950.0;380.0
Tomate;500 g a 1 kg;3;unimarc;Tomate larga vida granel 500 g;Frutas Y Verduras;975.0;Kg;500 g;mass;500.0;;;;1.95;;Verduras;Verduras;8.0;https://www.unimarc.cl/tomate-1-kg-5-u-aprox/p;6290.0;4190.0;975.0
Trutro de pollo;1 kg;3;unimarc;Trutro cuarto de pollo Ariztía granel 1 Kg;Ariztia;3190.0;Kg;1 kg;mass;1000.0;36000.0;;;3.19;;Pollo;Trutro;12.0;https://www.unimarc.cl/trutro-cuarto-de-pollo-ariztia-kg/p;6890.0;3990.0;3190.0
Yogurt;100 g a 1 kg yogurt tradicional;1;jumbo;Yogurt Batido Calán Semidescremado Frutilla 110 g;Calan;220.0;;;mass;110.0;;;;2.0;;;Yoghurt Batido;6.5;https://www.jumbo.cl/yoghurt-batido-calan-semidescremado-sabor-frutilla-120-g-2/p;220.0;;
Zanahoria;1 kg;3;lider;Zanahoria Jugo Bolsa, 1 Kg;Frutas Y Verduras;1190.0;Kg;1 un;mass;1000.0;9900.0;;;1.19;;Verduras > Zapallos y Zanahorias;Verduras;8.0;https://super.lider.cl/ip/verduras/00780464080073;1350.0;1190.0;1190.0
