cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;match_score;detail_url
Espiral;400 g a 1 kg pasta espiral;jumbo;2299;Pasta Espiral N°49 Carozzi 400 g;Carozzi;1070.0;1070.0;1070.0;;;;mass;400.0;;;2.675;;;Pastas y Fideos;5.0;https://www.jumbo.cl/espirales-carozzi-bolsa-400-g/p
Espiral;400 g a 1 kg pasta espiral;jumbo;2299;Pasta Espiral N°49 Carozzi 400 g;Carozzi;1070.0;1070.0;1070.0;;;;mass;400.0;;;2.675;;;Fideos, Pastas y Salsas (Mostrar todo);5.0;https://www.jumbo.cl/espirales-carozzi-bolsa-400-g/p
Harina de trigo;1 kg;jumbo;99156;Harina El Peral Sin Polvos de Hornear 1 kg;El Peral;1060.0;1060.0;1060.0;;;;mass;1000.0;;;1.06;;;Harina Blanca;8.0;https://www.jumbo.cl/harina-el-peral-sin-polvo-1-kg-1821024/p
Harina de trigo;1 kg;jumbo;4263;Harina Mont Blanc Sin Polvos de Hornear 1 kg;Mont Blanc;1380.0;1380.0;1380.0;;;;mass;1000.0;;;1.38;;;Harina Blanca;8.0;https://www.jumbo.cl/harina-sin-polvos-de-hornear-mont-blanc-bolsa-1-kg/p
Harina de trigo;1 kg;jumbo;4262;Harina Mont Blanc con Polvos de Hornear 1 kg;Mont Blanc;1380.0;1380.0;1380.0;;;;mass;1000.0;;;1.38;;;Harina Blanca;8.0;https://www.jumbo.cl/harina-con-polvos-de-hornear-mont-blanc-bolsa-1-kg/p
Harina de trigo;1 kg;jumbo;4263;Harina Mont Blanc Sin Polvos de Hornear 1 kg;Mont Blanc;1380.0;1380.0;1380.0;;;;mass;1000.0;;;1.38;;;Harinas, Postres y Repostería (Mostrar todo);8.0;https://www.jumbo.cl/harina-sin-polvos-de-hornear-mont-blanc-bolsa-1-kg/p
Harina de trigo;1 kg;jumbo;4262;Harina Mont Blanc con Polvos de Hornear 1 kg;Mont Blanc;1380.0;1380.0;1380.0;;;;mass;1000.0;;;1.38;;;Harinas, Postres y Repostería (Mostrar todo);8.0;https://www.jumbo.cl/harina-con-polvos-de-hornear-mont-blanc-bolsa-1-kg/p
Harina de trigo;1 kg;lider;dom_3;Harina Fuerza, 1 kg;;950.0;950.0;950.0;;;;mass;1000.0;;;0.95;;Harinas y Polvos > Otras Harinas;;8.0;https://super.lider.cl/ip/harinas-y-polvos/00780956180076
Harina de trigo;1 kg;lider;dom_17;Harina Sin Polvos Todo Uso Bolsa, 1 kg;;1000.0;1000.0;1000.0;;;;mass;1000.0;;;1.0;;Harinas y Polvos > Harinas Blancas;;8.0;https://super.lider.cl/ip/harinas-y-polvos/00780463883130
Harina de trigo;1 kg;lider;dom_16;Harina Premix Pan Amasado, 1 kg;;1150.0;1150.0;1150.0;;;;mass;1000.0;;;1.15;;Harinas y Polvos > Otras Harinas;;8.0;https://super.lider.cl/ip/harinas-y-polvos/00780956180063
Harina de trigo;1 kg;lider;dom_17;Harina Premix Sopaipillas, 1 kg;;1190.0;1190.0;1190.0;;;;mass;1000.0;;;1.19;;Harinas y Polvos > Otras Harinas;;8.0;https://super.lider.cl/ip/harinas-y-polvos/00780956180062
Harina de trigo;1 kg;lider;dom_4;Harina Sin Polvos De Hornear, 1 kg;;1250.0;1250.0;1250.0;;;;mass;1000.0;;;1.25;;Harinas y Polvos > Harinas Blancas;;8.0;https://super.lider.cl/ip/harinas-y-polvos/00780955920066
Harina de trigo;1 kg;unimarc;35023;Harina Merkat sin polvos 1 Kg;Merkat;850.0;850.0;850.0;;Kg;1 un;mass;1000.0;;;0.85;;Harina y repostería;Harina;8.0;https://www.unimarc.cl/harina-s-polvo-merkat-1-kg/p
Harina de trigo;1 kg;unimarc;35022;Harina Merkat con polvos 1 Kg;Merkat;850.0;850.0;850.0;;Kg;1 un;mass;1000.0;;;0.85;;Harina y repostería;Harina;8.0;https://www.unimarc.cl/harina-c-polvo-merkat-1-kg/p
Harina de trigo;1 kg;unimarc;78351;Harina Nuestra Cocina sin polvos 1 Kg;Nuestra Cocina;1330.0;1330.0;1000.0;10000.0;Kg;1 un;mass;1000.0;;;1.33;;Harina y repostería;Harina;8.0;https://www.unimarc.cl/harina-s-polvos-nuestra-cocina-1-kg/p
