group_id;producto_referencia;marca_referencia;category_std;unit_family;size_std;supermercado_mas_barato;precio_mas_barato;cantidad_opciones_comparadas;supermercados_presentes
9954;Jugo en Polvo Zuko Limón Dulce 15 g;Zuko;;;;jumbo;280.0;2;jumbo, unimarc
10042;Jugo Guallarauco Naranja 0% Azúcar Añadida 1 L;Guallarauco;;;;jumbo;2450.0;3;jumbo, unimarc
10077;Jugo en Polvo Livean Piña 7 g;Livean;;;;jumbo;290.0;3;jumbo, unimarc
10079;Jugo en Polvo Livean Berries 7 g;Livean;;;;jumbo;290.0;3;jumbo, unimarc
10186;Agua Saborizada Mas Manzana Sin Gas 1.6 L;Mas;;;;jumbo;1310.0;3;jumbo, unimarc
10189;Agua Saborizada Mas Pera Sin Gas 1.6 L;Mas;;;;jumbo;1310.0;3;jumbo, unimarc
10192;Agua Saborizada Mas Granada Sin Gas 1.6 L;Mas;;;;jumbo;1310.0;3;jumbo, unimarc
10193;Agua Saborizada Mas Citrus Gasificada 1.6 L;Mas;;;;jumbo;1310.0;3;jumbo, unimarc
10196;Agua Mineral Cachantun Sin Gas 1.6 L;Cachantun;;;;jumbo;1150.0;5;jumbo, unimarc
10197;Agua saborizada Más mango y maracuyá 1.6 L;Mas;;;;unimarc;1320.0;3;jumbo, unimarc
10198;Agua saborizada Más piña 1.6 L;Mas;;;;unimarc;1320.0;3;jumbo, unimarc
10199;Agua saborizada Más uva 1.6 L;Mas;;;;unimarc;1320.0;3;jumbo, unimarc
10200;Agua mineral Vital sin gas botella 1.6 L;Vital;;;;unimarc;990.0;3;jumbo, unimarc
10201;Agua Mineral Cachantun Strong con Gas 600 cc;Cachantun;;;;jumbo;930.0;6;jumbo, unimarc
10378;Espumante Valdivieso Brut 750 cc;Valdivieso;;;;jumbo;6890.0;2;jumbo, unimarc
10386;Espumante Misiones de Rengo brut 750 cc;Misiones De Rengo;;;;unimarc;4790.0;2;jumbo, unimarc
10401;Espumante Misiones de Rengo rosé 750 cc;Misiones De Rengo;;;;unimarc;4790.0;2;jumbo, unimarc
10403;Espumante Valdivieso Rosé 750 cc;Valdivieso;;;;jumbo;6890.0;2;jumbo, unimarc
10415;Bebida Energética Score Gorilla Lata 473 cc;Score;;;;jumbo;1000.0;2;jumbo, unimarc
10424;Bebida Energética Red Bull Fruta del Dragón 250 ml;Red Bull;;;;jumbo;1790.0;2;jumbo, unimarc
10425;Bebida Energética Score Original Lata 473 cc;Score;;;;jumbo;1000.0;2;jumbo, unimarc
10437;Bebida energética Rockstar mango power 500 ml;Rockstar;;;;unimarc;1050.0;2;jumbo, unimarc
10645;Bebida Isotónica Gatorade Frutas Tropicales 1 L;Gatorade;;;;jumbo;1690.0;2;jumbo, unimarc
10650;Bebida Isotónica Gatorade Naranja 1 L;Gatorade;;;;jumbo;1690.0;2;jumbo, unimarc
10652;Bebida Isotónica Gatorade Frutas Tropicales 500 cc;Gatorade;;;;jumbo;1190.0;2;jumbo, unimarc
10657;Bebida Isotónica Powerade Rojo 1.1 L;Powerade;;;;jumbo;1290.0;2;jumbo, unimarc
10659;Bebida Isotónica Gatorade Cool Blue 500 cc;Gatorade;;;;jumbo;1190.0;2;jumbo, unimarc
10663;Bebida Isotónica Gatorade Naranja 500 cc;Gatorade;;;;jumbo;1120.0;2;jumbo, unimarc
10664;Bebida Isotónica Powerade Naranja 1.1 L;Powerade;;;;jumbo;1290.0;2;jumbo, unimarc
10668;Bebida isotónica Gatorade cool blue 750 ml;Gatorade;;;;unimarc;1000.0;2;jumbo, unimarc
10669;Bebida Isotónica Powerade Frozen Blast Zero 1.1 L;Powerade;;;;jumbo;1290.0;4;jumbo, unimarc
10680;Bebida Isotónica Suerox Frutos Rojos 630 cc;Suerox;;;;jumbo;2090.0;2;jumbo, unimarc
10683;Bebida Isotónica Suerox Piña 630 cc;Suerox;;;;jumbo;2090.0;2;jumbo, unimarc
10689;Bebida Isotónica Suerox Frutilla Kiwi 630 ml;Suerox;;;;jumbo;2090.0;2;jumbo, unimarc
10691;Bebida isotónica Suerox arándano pomelo 630 ml;Suerox;;;;unimarc;2910.0;2;jumbo, unimarc
10694;Bebida Isotónica Suerox Naranja 630 ml;Suerox;;;;jumbo;2090.0;3;jumbo, unimarc
10719;Pack 4 un. Agua Tónica San Pellegrino 200 cc;San Pellegrino;;;;jumbo;5990.0;2;jumbo, unimarc
10796;Papel higiénico Confort familiar una hoja 8 un (120 m);Confort;;;;unimarc;10980.0;2;jumbo, unimarc
10808;Papel Higiénico Confort Doble Hoja 40 m 8 un.;Confort;;;;jumbo;6790.0;2;jumbo, unimarc
10914;Toalla de Papel Nova Gigante Doble Hoja 100 m;Nova;;;;jumbo;4990.0;3;jumbo, unimarc
10926;Papel higiénico Elite soft & strong triple hoja 4 un (40 m);Elite;;;;unimarc;4590.0;4;jumbo, unimarc
10931;Toalla de Papel Abolengo XL 100 m;Abolengo;;;;jumbo;3650.0;3;jumbo, unimarc
10958;Pack Detergente Líquido Ariel Doble Poder Concentrado 1.8 L 2 un.;Ariel;;;;jumbo;17490.0;2;jumbo, unimarc
10975;Detergente líquido Omo piel sensible doypack 3 L;Omo;;;;unimarc;10490.0;3;jumbo, unimarc
10996;Detergente Polvo Omo con Bicarbonato 2.7 kg;OMO;;;;jumbo;9190.0;2;jumbo, unimarc
11036;Suavizante Downy Brisa Intenso Concentrado Perfume Más Intenso 1 L;Downy;;;;jumbo;7490.0;3;jumbo, unimarc
11037;Suavizante Downy Brisa de Verano Aroma Limpio y Fresco 500 ml;Downy;;;;jumbo;3190.0;6;jumbo, unimarc
11068;Detergente Líquido Ariel Doble Poder Concentrado 1.8 L;Ariel;;;;jumbo;8994.0;3;jumbo, unimarc
11134;Cloro gel Igenix lavanda 900 ml;Igenix;;;;unimarc;1750.0;2;jumbo, unimarc
11142;Cloro Gel Clorinda Flores Silvestres 650 ml;Clorinda;;;;jumbo;1259.0;2;jumbo, unimarc
11146;Cloro Gel Clorinda Menta 900 ml;Clorinda;;;;jumbo;1990.0;2;jumbo, unimarc
11194;Cloro Gel Clorox Menta 900 ml;Clorox;;;;jumbo;2190.0;4;jumbo, unimarc
11198;Cloro Gel Clorox Original 900 ml;Clorox;;;;jumbo;2190.0;3;jumbo, unimarc
11205;Cloro Gel Clorox Lavanda 900 ml;Clorox;;;;jumbo;2190.0;4;jumbo, unimarc
11219;Cloro Gel Clorinda Lavanda 900 ml;Clorinda;;;;jumbo;1990.0;3;jumbo, unimarc
11334;Lavaloza Quix Ultra Concentrado 500 ml;Quix;;;;jumbo;2690.0;3;jumbo, unimarc
11589;Desodorante Ambiental Glade Limón Refrescante 255 ml;Glade;;;;jumbo;1950.0;2;jumbo, unimarc
11621;Insecticida Raid mata moscas, mosquitos y zancudo 360 cc Insecticida Raid mata moscas y mosquitos aerosol 360 ml;Raid;;;;unimarc;3490.0;2;jumbo, unimarc
11624;Insecticida Tanax Moscas y Zancudos Sin Olor 560 ml;Tanax;;;;jumbo;3112.0;2;jumbo, unimarc
11673;Insecticida Tanax Mata Insectos Sin Olor 560 ml;Tanax;;;;jumbo;3112.0;3;jumbo, unimarc
11708;Cera Crema Nugget Incolora Doypack 340 cc;Nugget;;;;jumbo;2590.0;2;jumbo, unimarc
11710;Cera Crema Brillina Incolora 480 cc;Brillina;;;;jumbo;3090.0;2;jumbo, unimarc
11712;Cera Crema Brillina Amarilla 480 cc;Brillina;;;;jumbo;3090.0;2;jumbo, unimarc
12754;Queso Mantecoso Río Bueno Laminado, 500 g;;;;;lider;1400.0;3;jumbo, lider
12828;Queso Fresco Light Sin Lactosa, 400 g;;;;;lider;300.0;3;jumbo, lider
13596;Agua Mineral Vital Sin Gas Botella, 600 ml;;;;;lider;850.0;2;lider, unimarc
13610;Agua Mineral Vital Con Gas Botella, 600 ml;;;;;lider;850.0;2;lider, unimarc
13827;Bebida Hidratante Electrolit Sabor Maracuyá, 625 ml;;;;;lider;1850.0;2;lider, unimarc
22529;Pasta Dental Colgate Total Original Mint, 75 ml;;;;;lider;1800.0;2;lider, unimarc
