idx_1;idx_2;supermarket_1;supermarket_2;name_1;name_2;brand_1;brand_2;price_1;price_2;size_std_1;size_std_2;unit_family;category_std;text_similarity;brand_score;final_score
2360;34417;jumbo;lider;Compota Orgánica Manzana, Plátano y Mango 90 g;Compota Orgánica Manzana Plátano Mango, 90 g;Vivo;;890.0;870.0;;;;;0.8356;0.6;0.7767
3351;23017;jumbo;unimarc;Corrector de Ojeras Maybelline Nude 6 ml;Corrector de ojeras Maybelline nude 6.8 ml;Maybelline;Maybelline;8050.0;8990.0;;;;;1.0;1.0;1.0
2635;23042;jumbo;unimarc;Crema Corporal Lubriderm Reparación Intensiva 750 ml;Crema corporal Lubriderm reparación intensiva 750 ml;Lubriderm;Lubriderm;8490.0;9790.0;;;;;1.0;1.0;1.0
2645;23059;jumbo;unimarc;Crema Corporal Lubriderm Humectación Diaria 200 ml;Crema corporal Lubriderm humectación diaria 200 ml;Lubriderm;Lubriderm;5390.0;5790.0;;;;;1.0;1.0;1.0
2689;23042;jumbo;unimarc;Crema Corporal Lubriderm Reparación Intensiva 750 ml;Crema corporal Lubriderm reparación intensiva 750 ml;Lubriderm;Lubriderm;8490.0;9790.0;;;;;1.0;1.0;1.0
2632;23039;jumbo;unimarc;Crema Corporal Nivea Q10 Reafirmante 1000 ml;Crema corporal Nivea Q10 reafirmante  1 L;Nivea;Nivea;12690.0;9450.0;;;;;0.7625;1.0;0.8219
2633;23049;jumbo;unimarc;Crema Corporal Nivea Regeneración Intensiva 1000 ml;Crema corporal Nivea regeneración intensiva 1 L;Nivea;Nivea;9290.0;12550.0;;;;;0.7633;1.0;0.8225
2639;23051;jumbo;unimarc;Crema Corporal Nivea Soft Milk Piel Seca 1000 ml;Crema corporal Nivea soft milk piel seca 250 ml;Nivea;Nivea;8290.0;6650.0;;;;;0.7424;1.0;0.8068
2649;23041;jumbo;unimarc;Crema Corporal Nivea Hidratación Express 1000 ml;Crema corporal Nivea hidratación express 1 L;Nivea;Nivea;8290.0;8790.0;;;;;0.7688;1.0;0.8266
2693;23049;jumbo;unimarc;Crema Corporal Nivea Regeneración Intensiva 1000 ml;Crema corporal Nivea regeneración intensiva 1 L;Nivea;Nivea;9290.0;12550.0;;;;;0.7633;1.0;0.8225
2698;23039;jumbo;unimarc;Crema Corporal Nivea Q10 Reafirmante 1000 ml;Crema corporal Nivea Q10 reafirmante  1 L;Nivea;Nivea;12690.0;9450.0;;;;;0.7625;1.0;0.8219
2708;23049;jumbo;unimarc;Crema Corporal Nivea Regeneración Intensiva 400 ml;Crema corporal Nivea regeneración intensiva 1 L;Nivea;Nivea;8990.0;12550.0;;;;;0.7151;1.0;0.7863
3172;23111;jumbo;unimarc;Crema Facial Nivea Rose Care Gel 50 ml;Crema facial Nivea rose care en gel 50 ml;Nivea;Nivea;5990.0;8890.0;;;;;0.6768;1.0;0.7576
3304;23111;jumbo;unimarc;Crema Facial Nivea Rose Care Gel 50 ml;Crema facial Nivea rose care en gel 50 ml;Nivea;Nivea;5990.0;8890.0;;;;;0.6768;1.0;0.7576
1751;22618;jumbo;unimarc;Crema para Peinar Elvive Hidra Hialurónico 3 en 1 - 500 ml;Crema para peinar Elvive hidra hialurónico 300 ml;Elvive;Elvive;6293.0;4990.0;;;;;0.6773;1.0;0.758
11678;21416;jumbo;unimarc;Desodorante Ambiental Glade Limón Refrescante 255 ml;Desodorante ambiental Glade limón refrescante 255 ml;Glade;Glade;1950.0;1990.0;;;;;1.0;1.0;1.0
2542;30706;jumbo;lider;Desodorante Antitranspirante Gel Secret Powder Protect Cotton 45 g;Desodorante Antitranspirante En Gel Secret Powder Protect Cotton, 45 g;Secret;;4090.0;990.0;;;;;0.8145;0.6;0.7609
2580;23032;jumbo;unimarc;Desodorante para Pies Curitas Fresh Active 2 en 1 - 150 ml;Desodorante para pies Curitas fresh active spray 150 ml;Curitas;Curitas;6790.0;6790.0;;;;;0.7686;1.0;0.8265
2612;23032;jumbo;unimarc;Desodorante para Pies Curitas Silver Active Spray 150 ml;Desodorante para pies Curitas fresh active spray 150 ml;Curitas;Curitas;6790.0;6790.0;;;;;0.7199;1.0;0.7899
2612;23033;jumbo;unimarc;Desodorante para Pies Curitas Silver Active Spray 150 ml;Desodorante para pies Curitas silver active spray 150 ml;Curitas;Curitas;6790.0;6790.0;;;;;1.0;1.0;1.0
2407;23245;jumbo;unimarc;Desodorante Spray Lady Speed Stick 24/7 Powder Fresh 91 g 2 un.;Desodorante spray Lady Speed Stick 24/7 powder fresh 91 g;Lady Speed Stick;Lady Speed Stick;6090.0;2895.0;;;;;0.9032;1.0;0.9274
11022;20977;jumbo;unimarc;Detergente Líquido Ariel Doble Poder Concentrado 1.8 L;Detergente líquido Ariel doble poder concentrado botella 1.8 L;Ariel;Ariel;8994.0;14990.0;;;;;0.7356;1.0;0.8017
11152;20977;jumbo;unimarc;Detergente Líquido Ariel Doble Poder Concentrado 1.8 L;Detergente líquido Ariel doble poder concentrado botella 1.8 L;Ariel;Ariel;8994.0;14990.0;;;;;0.7356;1.0;0.8017
11046;20966;jumbo;unimarc;Detergente Líquido Omo Piel Sensible Doypack 3 L;Detergente líquido Omo piel sensible doypack 3 L;OMO;Omo;12990.0;10490.0;;;;;1.0;1.0;1.0
11055;20966;jumbo;unimarc;Detergente Líquido Omo Piel Sensible 3 L;Detergente líquido Omo piel sensible doypack 3 L;OMO;Omo;12990.0;10490.0;;;;;0.8266;1.0;0.87
11076;21007;jumbo;unimarc;Detergente Polvo Omo con Bicarbonato 2.7 kg;Detergente en polvo Omo con bicarbonato 2.7 Kg;OMO;Omo;9190.0;9190.0;;;;;0.72;1.0;0.79
5424;17466;jumbo;unimarc;Endulzante Líquido Daily Stevia 270 ml;Endulzante líquido Daily gotas stevia 270 ml;Daily;Daily;3890.0;3420.0;;;;;0.7117;1.0;0.7838
1957;22883;jumbo;unimarc;Enjuague Bucal Colgate Total Clean Mint 1 L;Enjuague bucal Colgate total clean mint 1 L;Colgate;Colgate;7833.0;7740.0;;;;;1.0;1.0;1.0
1957;22901;jumbo;unimarc;Enjuague Bucal Colgate Total Clean Mint 1 L;Enjuague bucal Colgate total clean mint 250 ml;Colgate;Colgate;7833.0;6290.0;;;;;0.7781;1.0;0.8336
1974;22903;jumbo;unimarc;Enjuague Bucal Colgate Ice Infinity 500 ml + 180 ml;Enjuague bucal Colgate ice infinity 500 ml + 180 ml;Colgate;Colgate;9690.0;7790.0;;;;;1.0;1.0;1.0
1976;22885;jumbo;unimarc;Enjuague Bucal Colgate Plax Minions 250 ml;Enjuague bucal Colgate plax minions 250 ml;Colgate;Colgate;4490.0;4990.0;;;;;1.0;1.0;1.0
1977;22885;jumbo;unimarc;Enjuague Bucal Colgate Plax Minions 250 ml;Enjuague bucal Colgate plax minions 250 ml;Colgate;Colgate;4490.0;4990.0;;;;;1.0;1.0;1.0
1979;22893;jumbo;unimarc;Enjuague Bucal Colgate Plax Fresh Mint 500 ml;Enjuague bucal Colgate plax fresh mint 1 L;Colgate;Colgate;6690.0;12190.0;;;;;0.7381;1.0;0.8036
1982;22893;jumbo;unimarc;Enjuague Bucal Colgate Plax Fresh Mint 1 L;Enjuague bucal Colgate plax fresh mint 1 L;Colgate;Colgate;10350.0;12190.0;;;;;1.0;1.0;1.0
1982;22900;jumbo;unimarc;Enjuague Bucal Colgate Plax Fresh Mint 1 L;Enjuague bucal Colgate plax fresh mint 250 ml;Colgate;Colgate;10350.0;6290.0;;;;;0.7702;1.0;0.8276
1990;22883;jumbo;unimarc;Enjuague Bucal Colgate Total Clean Mint 250 ml;Enjuague bucal Colgate total clean mint 1 L;Colgate;Colgate;3773.0;7740.0;;;;;0.7781;1.0;0.8336
1990;22901;jumbo;unimarc;Enjuague Bucal Colgate Total Clean Mint 250 ml;Enjuague bucal Colgate total clean mint 250 ml;Colgate;Colgate;3773.0;6290.0;;;;;1.0;1.0;1.0
2005;22883;jumbo;unimarc;Enjuague Bucal Colgate Total Clean Mint 1 L;Enjuague bucal Colgate total clean mint 1 L;Colgate;Colgate;7833.0;7740.0;;;;;1.0;1.0;1.0
2005;22901;jumbo;unimarc;Enjuague Bucal Colgate Total Clean Mint 1 L;Enjuague bucal Colgate total clean mint 250 ml;Colgate;Colgate;7833.0;6290.0;;;;;0.7781;1.0;0.8336
1981;22904;jumbo;unimarc;Enjuague Bucal Listerine Anticaries Zero Alcohol 500 ml;Enjuague bucal Listerine anticaries zero alcohol 500 ml;Listerine;Listerine;10490.0;11590.0;;;;;1.0;1.0;1.0
3739;23488;jumbo;unimarc;Espuma de Afeitar Gillette Sensitive 150 ml;Espuma de afeitar Gillette sensitive 150 g;Gillette;Gillette;4922.0;6250.0;;;;;0.823;1.0;0.8673
10457;14519;jumbo;unimarc;Espumante Misiones de Rengo Brut 750 cc;Espumante Misiones de Rengo brut 750 cc;Misiones de Rengo;Misiones De Rengo;6790.0;4790.0;;;;;1.0;1.0;1.0
10472;14522;jumbo;unimarc;Espumante Misiones de Rengo Rosé 750 cc;Espumante Misiones de Rengo rosé 750 cc;Misiones de Rengo;Misiones De Rengo;6790.0;4790.0;;;;;1.0;1.0;1.0
10449;14536;jumbo;unimarc;Espumante Valdivieso Brut 750 cc;Espumante Valdivieso brut 750 cc;Valdivieso;Valdivieso;6890.0;6890.0;;;;;1.0;1.0;1.0
10474;14553;jumbo;unimarc;Espumante Valdivieso Rosé 750 cc;Espumante Valdivieso rosé 750 cc;Valdivieso;Valdivieso;6890.0;6890.0;;;;;1.0;1.0;1.0
2286;34488;jumbo;lider;Fórmula Láctea Nidal Junior 800 g;Fórmula Láctea Nidal Junior, 800 g;Nidal;;9060.0;8990.0;;;;;0.8979;0.6;0.8234
