group_id;supermarket;name;brand;category_std;unit;unit_family;net_content;size_std;price;price_num;detail_url
1;jumbo;Lomo Liso Premium A Punto Al Vacío kg;A Punto;;;;;;31187;31187.0;https://www.jumbo.cl/lomo-liso-angusa-punto-15-kg-aprox/p
2;jumbo;Asado de Tira kg;Cuisine & Co;;;;;;14590;14590.0;https://www.jumbo.cl/asado-de-tira-v-1kg-cuisine-and-co-nbe-mp-1930362/p
3;jumbo;Posta Negra Desgrasada Bandeja 750 g;Carnicería Propia;;;;;;14243;14243.0;https://www.jumbo.cl/posta-negra-desgrasada-kg/p
4;jumbo;Lomo Liso Premium Camposorno Al Vacío kg;Camposorno;;;;;;31187;31187.0;https://www.jumbo.cl/lomo-liso-premium-kg/p
5;jumbo;Filete Premium A Punto Al Vacío kg;A Punto;;;;;;71976;71976.0;https://www.jumbo.cl/filete-v-apunto-premium-kg/p
6;jumbo;Lomo Vetado Premium Camposorno Al Vacío kg;Camposorno;;;;;;29689;29689.0;https://www.jumbo.cl/lomo-vetado-premium-kg/p
7;jumbo;Punta de Ganso Premium A Punto Al Vacío kg;A Punto;;;;;;33586;33586.0;https://www.jumbo.cl/punta-de-ganso-angusa-punto-25-kg-aprox/p
8;jumbo;Punta Picana Premium A Punto Al Vacío kg;A Punto;;;;;;21989;21989.0;https://www.jumbo.cl/punta-picana-angusa-punto-900-g-aprox/p
9;jumbo;Lomo Liso Desgrasado Bandeja 900 g;Cuisine & Co;;;;;;23571;23571.0;https://www.jumbo.cl/lomo-liso-v-desg-atm-prodj-kg-1996518-kg/p
10;jumbo;Asiento Desgrasado Bandeja 900 g;Cuisine & Co;;;;;;19971;19971.0;https://www.jumbo.cl/asiento-v-desg-atm-prodj-kg-1996519-kg/p
11;jumbo;Asado de Tira Premium Camposorno Al Vacío kg;Camposorno;;;;;;50577;50577.0;https://www.jumbo.cl/asado-de-tira-premium-kg/p
12;jumbo;Arrachera Premium A Punto Al Vacío kg;A Punto;;;;;;23988;23988.0;https://www.jumbo.cl/arrachera-cat-v/p
13;jumbo;Filete Entrecot Premium A Punto Al Vacío kg;A Punto;;;;;;44183;44183.0;https://www.jumbo.cl/filete-lomo-liso-entrecot-cat-v-apunto-1734605-kg/p
