script_name,status,return_code,duration_sec,stdout_log,stderr_log,error
unimarc_frutas.py,OK,0,334,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260219_162413\unimarc_frutas.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260219_162413\unimarc_frutas.py.err.log,
unimarc_fiambres.py,OK,0,352,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260219_162413\unimarc_fiambres.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260219_162413\unimarc_fiambres.py.err.log,
unimarc_panaderia.py,OK,0,884,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260219_162413\unimarc_panaderia.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260219_162413\unimarc_panaderia.py.err.log,
