cart_query;supermarket;sku;name;brand;price;list_price;discount_price;in_offer;net_content;unit;price_per_unit;price_per_unit_list;saving_text;image_url;detail_url;category;subcategory;last_category;category_url;page_num;extracted_at;archivo;ruta_archivo;timestamp_archivo;mtime_archivo;category_std;name_clean;brand_clean;category_std_clean;subcategory_clean;last_category_clean;all_text;list_price_num;price_num;discount_price_num;effective_price;unit_family;size_std;match_score
chocolate;lider;dom_38;Bebida Láctea Sabor Chocolate, 200 ml;;490;490;;False;;;;;;https://i5.walmartimages.cl/asr/f4b66c90-0092-451a-90e7-d2c6d23a2fac.b8b0700e67f59e2b46ed0e0d209a34d0.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/leche/00780461747027;frescos_y_lacteos;Leche > Individuales;;;1.0;2026-03-17T22:06:45;lider_frescos_y_lacteos_20260317_222114.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\frescos_y_lacteos\lider_frescos_y_lacteos_20260317_222114.csv;2026-03-17 22:21:14;;;bebida lactea sabor chocolate 200 ml;;;leche individuales;;bebida lactea sabor chocolate 200 ml   leche individuales;490.0;490.0;;490.0;volume;200.0;10.0
chocolate;unimarc;85644;Chocolate barra chocolate arandanos rojos 100g;Barra Chocolate;6290;6290;;False;1 un;Kg;;;;https://unimarc.vtexassets.com/arquivos/ids/235788/000000000000665999-UN-01.jpg?v=638330788590870000;https://www.unimarc.cl/choco-aranda-rojos-barra-chocolate-100g/p;desayunos_dulces;Chocolates y confites;Chocolates;https://www.unimarc.cl/category/desayuno-y-dulces/chocolates-y-confites/chocolates;;2026-03-09T19:26:50;unimarc_desayuno-y-dulces_subcats_20260309_193127.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\output\desayunos_dulces\unimarc_desayuno-y-dulces_subcats_20260309_193127.csv;2026-03-09 19:31:27;;;chocolate barra chocolate arandanos rojos 100g;barra chocolate;;chocolates y confites;chocolates;chocolate barra chocolate arandanos rojos 100g barra chocolate  chocolates y confites chocolates;6290.0;6290.0;;6290.0;mass;100.0;10.5
leche entera 1 litro;jumbo;88327;Leche Soprole Entera Natural 200 ml;Soprole;560;560;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/527995-250-250/Leche-Soprole-Entera-Natural-200-ml.jpg?v=638967404839630000;https://www.jumbo.cl/leche-entera-soprole-200-ml/p;lacteos_huevos_congelados;;Leche Líquida;;1.0;2026-03-03T12:41:59;jumbo_lacteos_huevos_y_congelados_20260303_131000.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\lacteos_huevos_congelados\jumbo_lacteos_huevos_y_congelados_20260303_131000.csv;2026-03-03 13:10:00;;;leche soprole entera natural 200 ml;soprole;;;leche liquida;leche soprole entera natural 200 ml soprole   leche liquida;560.0;560.0;;560.0;volume;200.0;13.333333333333332
leche entera 1 litro;lider;dom_1;Leche Natural Entera caja, 1 L;;990;990;;False;;;;;;https://i5.walmartimages.cl/asr/8e0c4767-58c6-46af-8837-b3a8a71a5790.1e4679549e4749147a4ca3b2e9fb5c02.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/leche/00040000720074;frescos_y_lacteos;Leche > Blanca;;;1.0;2026-03-17T22:05:40;lider_frescos_y_lacteos_20260317_222114.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\frescos_y_lacteos\lider_frescos_y_lacteos_20260317_222114.csv;2026-03-17 22:21:14;;;leche natural entera caja 1 l;;;leche blanca;;leche natural entera caja 1 l   leche blanca;990.0;990.0;;990.0;volume;1000.0;13.333333333333332
leche entera 1 litro;unimarc;91846;Leche entera Surlat 200 ml;Surlat;530;530;950.0;False;1 un;litro;;;Ahorras $100;https://unimarc.vtexassets.com/arquivos/ids/250276/000000000000681907-UN-01.jpg?v=638893996373670000;https://www.unimarc.cl/leche-entera-surlat-200ml/p;lacteos;Leches y cremas;Leches individuales;https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-y-cremas/leches-individuales;;2026-03-09T19:57:20;unimarc_lacteos-huevos-y-refrigerados_subcats_20260309_200011.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\output\lacteos\unimarc_lacteos-huevos-y-refrigerados_subcats_20260309_200011.csv;2026-03-09 20:00:11;;;leche entera surlat 200 ml;surlat;;leches y cremas;leches individuales;leche entera surlat 200 ml surlat  leches y cremas leches individuales;530.0;530.0;9500.0;530.0;volume;200.0;13.333333333333332
pechuga de pollo 1 kg;jumbo;11250;Pechuga de Pollo Entera kg;Super Pollo;4851;5841;;True;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/576889-250-250/Pechuga-de-Pollo-Entera-kg.jpg?v=639069339594770000;https://www.jumbo.cl/pechuga-entera-super-pollo/p;carnes_pescados;;Filetes y Pechuga de Pollo;;2.0;2026-03-02T22:14:35;jumbo_carnes_y_pescados_20260302_222112.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\carnes_pescados\jumbo_carnes_y_pescados_20260302_222112.csv;2026-03-02 22:21:12;;;pechuga de pollo entera kg;super pollo;;;filetes y pechuga de pollo;pechuga de pollo entera kg super pollo   filetes y pechuga de pollo;5841.0;4851.0;;5841.0;mass;15000.0;25.5
pechuga de pollo 1 kg;lider;dom_24;Pollo Pechuga Congelada, 1 kg;;800;5990;;True;;;;;;https://i5.walmartimages.cl/asr/bbb0b4d8-abf3-44c0-94e5-86f006ecf8ec.ace8ea60babf292269c03c3d030744fe.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/pollo/00789151555199;carnes_pescados;Pollo > Pechuga y Filetitos de Pollo;;;1.0;2026-03-17T20:54:21;lider_carnes_y_pescados_20260317_210326.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\carnes_pescados\lider_carnes_y_pescados_20260317_210326.csv;2026-03-17 21:03:26;;;pollo pechuga congelada 1 kg;;;pollo pechuga y filetitos de pollo;;pollo pechuga congelada 1 kg   pollo pechuga y filetitos de pollo;5990.0;800.0;;5990.0;mass;1000.0;29.0
pechuga de pollo 1 kg;unimarc;360;Pechuga de pollo entera Super Pollo 0.950 Kg;Super Pollo;4741;5558;4741.0;True;950 g;Kg;;;Ahorras $817;https://unimarc.vtexassets.com/arquivos/ids/253832/000000000000051713-KG-01.jpg?v=639059019630570000;https://www.unimarc.cl/pechuga-de-pollo-entera-super-pollo-0-950-kg/p;carnes;Pollo;Pechugas y filetitos;https://www.unimarc.cl/category/carnes/pollo/pechugas-y-filetitos;;2026-03-09T19:13:59;unimarc_carnes_subcats_20260309_191615.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\output\carnes\unimarc_carnes_subcats_20260309_191615.csv;2026-03-09 19:16:15;;;pechuga de pollo entera super pollo 0.950 kg;super pollo;;pollo;pechugas y filetitos;pechuga de pollo entera super pollo 0.950 kg super pollo  pollo pechugas y filetitos;5558.0;4741.0;47410.0;5558.0;mass;950000.0;27.5
plátano;jumbo;137790;Jugo en Polvo Zuko Naranja Plátano 15 g;Zuko;280;280;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/528269-250-250/Jugo-Polvo-Zuko-Naranja-Platano-15-g.jpg?v=638967405432270000;https://www.jumbo.cl/jugo-polvo-zuko-naranja-platano-cn-15g-1996509/p;licores_bebidas_aguas;;Jugos en Polvo;;2.0;2026-03-03T15:16:39;jumbo_licores_bebidas_y_aguas_20260303_152447.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\licores_bebidas_aguas\jumbo_licores_bebidas_y_aguas_20260303_152447.csv;2026-03-03 15:24:47;;;jugo en polvo zuko naranja platano 15 g;zuko;;;jugos en polvo;jugo en polvo zuko naranja platano 15 g zuko   jugos en polvo;280.0;280.0;;280.0;mass;15.0;10.0
plátano;lider;750647511028;Compota Orgánica Plátano Mango, 100 g;;1450;1450;;False;;;;;;https://i5.walmartimages.cl/asr/3a387d4f-a175-4ace-9875-9e88dc2fdcfa.41a72391ba9a0a6a91ab7a9b516d6969.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/alimentacion-y-lactancia/00750647511028;mundo_bebe_jugueteria;Pañales y Toallas Húmedas > Colados Picados y Aceites;;;2.0;2026-03-17T20:10:58;lider_mundo_bebe_jugueteria_20260317_203727.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\mundo_bebe_jugueteria\lider_mundo_bebe_jugueteria_20260317_203727.csv;2026-03-17 20:37:27;;;compota organica platano mango 100 g;;;panales y toallas humedas colados picados y aceites;;compota organica platano mango 100 g   panales y toallas humedas colados picados y aceites;1450.0;1450.0;;1450.0;mass;100.0;10.0
plátano;unimarc;6872;Jugo en polvo Zuko naranja plátano rinde 1 L;Zuko;280;280;;False;1 un;litro;;;;https://unimarc.vtexassets.com/arquivos/ids/253334/000000000000900825-UN-01.jpg?v=638992610867800000;https://www.unimarc.cl/jugo-polvo-naranja-platano-zuko-35gr/p;bebidas_licores;Jugos;Jugos en polvo;https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-en-polvo;;2026-03-09T19:08:51;unimarc_bebidas-y-licores_subcats_20260309_191231.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\output\bebidas_licores\unimarc_bebidas-y-licores_subcats_20260309_191231.csv;2026-03-09 19:12:31;;;jugo en polvo zuko naranja platano rinde 1 l;zuko;;jugos;jugos en polvo;jugo en polvo zuko naranja platano rinde 1 l zuko  jugos jugos en polvo;280.0;280.0;;280.0;volume;1000.0;10.0
tomate;jumbo;2186;Sopa Individual Gourmet Tomate Albahaca 14 g;Gourmet;500;500;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/299269-250-250/Sopa-Individual-Gourmet-Sobre-14-g-Tomate-Albahaca-Sopa-para-uno.jpg?v=638775762683030000;https://www.jumbo.cl/sopa-individual-gourmet-sobre-14-g-tomate-albahaca-sopa-para-uno-2/p;despensa;;Cremas y Sopas;;1.0;2026-03-02T23:11:16;jumbo_despensa_20260302_232131.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\despensa\jumbo_despensa_20260302_232131.csv;2026-03-02 23:21:31;;;sopa individual gourmet tomate albahaca 14 g;gourmet;;;cremas y sopas;sopa individual gourmet tomate albahaca 14 g gourmet   cremas y sopas;500.0;500.0;;500.0;mass;14.0;10.0
tomate;lider;dom_10;Crema de Tomate (5 Porciones) Sobre, 45 g;;147;1000;;True;;;;;;https://i5.walmartimages.cl/asr/b5672533-6111-4eb5-8356-b591d03b3909.718243619066052ffdf167c937d12cb8.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/alimentos-instantaneos/00844529084685;despensa;Alimentos Instantáneos > Sopas y Cremas;;;1.0;2026-03-17T21:54:53;lider_despensa_20260317_215808.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\despensa\lider_despensa_20260317_215808.csv;2026-03-17 21:58:08;;;crema de tomate 5 porciones sobre 45 g;;;alimentos instantaneos sopas y cremas;;crema de tomate 5 porciones sobre 45 g   alimentos instantaneos sopas y cremas;1000.0;147.0;;1000.0;mass;45.0;10.0
tomate;unimarc;86430;Salsa de tomate italiana merkat doypack 200g;Merkat;380;380;;False;1 un;Kg;;;;https://unimarc.vtexassets.com/arquivos/ids/236874/000000000000665055-UN-01.jpg?v=638387814332500000;https://www.unimarc.cl/salsa-tomate-italiana-merkat-dp-200-gr/p;despensa;Fideos, pastas y salsas;Salsa para pastas;https://www.unimarc.cl/category/despensa/fideos-pastas-y-salsas/salsa-para-pastas;;2026-03-09T19:34:21;unimarc_despensa_subcats_20260309_194612.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\output\despensa\unimarc_despensa_subcats_20260309_194612.csv;2026-03-09 19:46:12;;;salsa de tomate italiana merkat doypack 200g;merkat;;fideos pastas y salsas;salsa para pastas;salsa de tomate italiana merkat doypack 200g merkat  fideos pastas y salsas salsa para pastas;380.0;380.0;;380.0;mass;200.0;10.0
