cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;premium_score;detail_url
Arroz;1 kg premium;lider;dom_20;Arroz Grado 2 Grano Largo Bolsa, 1 kg;;2090.0;2090.0;2090.0;;;;mass;1000.0;;;2.09;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780311010223
Arroz;1 kg premium;lider;dom_1;Arroz Integral Grado 1 Grano Largo y Ancho Bolsa, 1 kg;;2090.0;2090.0;2090.0;;;;mass;1000.0;;;2.09;;Arroz y Legumbres > Arroz Integral;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142000080
Arroz;1 kg premium;lider;dom_21;Arroz Grado 2 Largo Ancho Bolsa, 1 kg;;2150.0;2150.0;360.0;;;;mass;1000.0;;;2.15;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780261500657
Arroz;1 kg premium;lider;dom_15;Arroz Grado 1 Grano Largo Blue Bonnet Bolsa, 1 Kg;;2290.0;2290.0;600.0;;;;mass;1000.0;;;2.29;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142000169
Arroz;1 kg premium;unimarc;475;Arroz Tucapel blue bonnet G2 1 Kg;Tucapel;1850.0;1850.0;1850.0;;Kg;1 un;mass;1000.0;;;1.85;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g2-tucapel-blue-bonnet-largo-1-kg/p
Arroz;1 kg premium;unimarc;34;Arroz Tucapel gran selección G2 laminado 1 Kg;Tucapel;2090.0;2090.0;1090.0;10900.0;Kg;1 un;mass;1000.0;;;2.09;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g2-tucapel-gran-seleccion-laminado-largo-1/p
Arroz;1 kg premium;unimarc;7732;Arroz Tucapel gran selección G2 1 Kg;Tucapel;2150.0;2150.0;2150.0;;Kg;1 un;mass;1000.0;;;2.15;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g2-largo-seleccion-tucapel-1-kg/p
Arroz;1 kg premium;unimarc;12329;Arroz Tucapel blue bonnet G1 1 Kg;Tucapel;2290.0;2290.0;2290.0;;Kg;1 un;mass;1000.0;;;2.29;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-blue-bonnet-tucapel-g1-lam-1-kg/p
Arroz;1 kg premium;unimarc;33;Arroz Tucapel gran selección G1 1 Kg;Tucapel;2450.0;2450.0;1890.0;18900.0;Kg;1 un;mass;1000.0;;;2.45;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g1-tucapel-gran-seleccion-largo-1-kg/p
Arroz;1 kg premium;unimarc;2888;Arroz Tucapel pregraneado 1 Kg;Tucapel;2490.0;2490.0;2000.0;20000.0;Kg;1 un;mass;1000.0;;;2.49;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-pregraneado-g1-largo-tucapel-1-kg/p
Arroz;1 kg premium;unimarc;2924;Arroz Miraflores pregraneado G1 largo 1 Kg;Miraflores;2590.0;2590.0;2290.0;22900.0;Kg;1 un;mass;1000.0;;;2.59;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-pregraneado-miraflores-1-kg/p
Arroz;1 kg premium;unimarc;31;Arroz Miraflores G1 largo ancho bolsa 1 Kg;Miraflores;2690.0;2690.0;2690.0;;Kg;1 un;mass;1000.0;;;2.69;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g1-miraflores-largo-ancho-1-kg/p
Arroz;1 kg premium;unimarc;12335;Arroz paella Tucapel 1 Kg;Tucapel;3390.0;3390.0;3390.0;;Kg;1 un;mass;1000.0;;;3.39;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-paella-caja-tucapel-1-kg/p
Arroz;1 kg premium;unimarc;1566;Arroz basmati Tucapel 1 Kg;Tucapel;5390.0;5390.0;5390.0;;Kg;1 un;mass;1000.0;;;5.39;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-basmati-tucapel-1-kg/p
Arroz;1 kg premium;unimarc;78128;Arroz Miraflores basmati premium bolsa 400 g;Miraflores;3390.0;3390.0;2490.0;24900.0;Kg;1 un;mass;400.0;;;8.475;;Arroz y legumbres;Arroz;14.2;https://www.unimarc.cl/arroz-basmati-miraflores-400-gr/p
Arroz;1 kg premium;unimarc;9411;Arroz Merkat largo delgado grado 2 1 Kg;Merkat;1190.0;1190.0;950.0;9500.0;Kg;1 un;mass;1000.0;;;1.19;;Arroz y legumbres;Arroz;12.0;https://www.unimarc.cl/arroz-g2-largo-delgado-merkat-1-kg/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;13833;Aceite de Maravilla Chef 1 L;Chef;3750.0;3750.0;2490.0;;;;volume;1000.0;;;3.75;;;Aceite;14.5;https://www.jumbo.cl/aceite-maravilla-chef-1-l/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;13833;Aceite de Maravilla Chef 1 L;Chef;3750.0;3750.0;2490.0;;;;volume;1000.0;;;3.75;;;Aceites, Sal y Condimentos (Mostrar todo);14.5;https://www.jumbo.cl/aceite-maravilla-chef-1-l/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;1432;Aceite de Maíz Chef 1 L;Chef;5650.0;5650.0;5650.0;;;;volume;1000.0;;;5.65;;;Aceite;14.5;https://www.jumbo.cl/aceite-de-maiz-chef-botella-1-l-0-colesterol-2/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;15135;Aceite de Pepita de Uva Chef 1 L;Chef;8190.0;8190.0;8190.0;;;;volume;1000.0;;;8.19;;;Aceite;14.5;https://www.jumbo.cl/aceite-pepita-de-uva-chef-1-l-0-colesterol/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;15135;Aceite de Pepita de Uva Chef 1 L;Chef;8190.0;8190.0;8190.0;;;;volume;1000.0;;;8.19;;;Aceites, Sal y Condimentos (Mostrar todo);14.5;https://www.jumbo.cl/aceite-pepita-de-uva-chef-1-l-0-colesterol/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;15134;Aceite de Oliva Chef Libre de Colesterol 1 L;Chef;16820.0;16820.0;16820.0;;;;volume;1000.0;;;16.82;;;Aceite de Oliva;14.5;https://www.jumbo.cl/aceite-de-oliva-chef-1-l-0-colesterol/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;1434;Aceite de Oliva Chef Extra Virgen 1 L;Chef;18290.0;18290.0;18290.0;;;;volume;1000.0;;;18.29;;;Aceite de Oliva;14.5;https://www.jumbo.cl/aceite-de-oliva-chef-botella-1-l-extra-virgen-2/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;1434;Aceite de Oliva Chef Extra Virgen 1 L;Chef;18290.0;18290.0;18290.0;;;;volume;1000.0;;;18.29;;;Aceites, Sal y Condimentos (Mostrar todo);14.5;https://www.jumbo.cl/aceite-de-oliva-chef-botella-1-l-extra-virgen-2/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;122674;Aceite Vegetal Miraflores 900 ml;Miraflores;2850.0;2850.0;1990.0;;;;volume;900.0;;;3.1666666666666665;;;Aceite;14.2;https://www.jumbo.cl/aceite-vegetal-miraflores-900-ml-1952460/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;122674;Aceite Vegetal Miraflores 900 ml;Miraflores;2850.0;2850.0;1990.0;;;;volume;900.0;;;3.1666666666666665;;;Aceites, Sal y Condimentos (Mostrar todo);14.2;https://www.jumbo.cl/aceite-vegetal-miraflores-900-ml-1952460/p
